Order,Order Chinese,Family,Family English,Family Chinese,Genus,Suggested Chinese genus name,China range keyword species count,Example China-tagged species
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Netta,,1,赤嘴潜鸭 (Netta rufina)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Sarkidiornis,,1,瘤鸭 (Sarkidiornis melanotos)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Sibirionetta,,1,花脸鸭 (Sibirionetta formosa)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Tadorna,,1,赤麻鸭 (Tadorna ferruginea)
Apodiformes,雨燕目,Apodidae,Swifts,雨燕科,Hirundapus,,1,灰喉针尾雨燕 (Hirundapus cochinchinensis)
Apodiformes,雨燕目,Hemiprocnidae,Treeswifts,,Hemiprocne,,1,凤头雨燕 (Hemiprocne coronata)
Bucerotiformes,犀鸟目,Bucerotidae,Hornbills,,Aceros,,1,棕颈犀鸟 (Aceros nipalensis)
Bucerotiformes,犀鸟目,Bucerotidae,Hornbills,,Anorrhinus,,1,白喉犀鸟 (Anorrhinus austeni)
Bucerotiformes,犀鸟目,Bucerotidae,Hornbills,,Buceros,,1,双角犀鸟 (Buceros bicornis)
Bucerotiformes,犀鸟目,Bucerotidae,Hornbills,,Rhyticeros,,1,花冠皱盔犀鸟 (Rhyticeros undulatus)
Charadriiformes,鸻形目,Charadriidae,Plovers and Lapwings,,Pluvialis,,1,金斑鸻 (Pluvialis fulva)
Charadriiformes,鸻形目,Charadriidae,Plovers and Lapwings,,Thinornis,,1,长嘴剑鸻 (Thinornis placidus)
Charadriiformes,鸻形目,Glareolidae,Coursers and Pratincoles,,Glareola,,1,灰燕鸻 (Glareola lactea)
Charadriiformes,鸻形目,Ibidorhynchidae,Ibisbill,,Ibidorhyncha,,1,鹮嘴鹬 (Ibidorhyncha struthersii)
Charadriiformes,鸻形目,Jacanidae,Jacanas,,Hydrophasianus,,1,水雉 (Hydrophasianus chirurgus)
Charadriiformes,鸻形目,Jacanidae,Jacanas,,Metopidius,,1,铜翅水雉 (Metopidius indicus)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Chlidonias,,1,白翅浮鸥 (Chlidonias leucopterus)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Hydrocoloeus,,1,小鸥 (Hydrocoloeus minutus)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Hydroprogne,,1,红嘴巨燕鸥 (Hydroprogne caspia)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Onychoprion,,1,白腰燕鸥 (Onychoprion aleuticus)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Saundersilarus,,1,黑嘴鸥 (Saundersilarus saundersi)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Thalasseus,,1,中华凤头燕鸥 (Thalasseus bernsteini)
Charadriiformes,鸻形目,Recurvirostridae,Stilts and Avocets,,Himantopus,,1,黑翅长脚鹬 (Himantopus himantopus)
Charadriiformes,鸻形目,Recurvirostridae,Stilts and Avocets,,Recurvirostra,,1,反嘴鹬 (Recurvirostra avosetta)
Charadriiformes,鸻形目,Scolopacidae,Sandpipers and Allies,,Actitis,,1,矶鹬 (Actitis hypoleucos)
Charadriiformes,鸻形目,Scolopacidae,Sandpipers and Allies,,Limnodromus,,1,半蹼鹬 (Limnodromus semipalmatus)
Charadriiformes,鸻形目,Scolopacidae,Sandpipers and Allies,,Numenius,,1,大杓鹬 (Numenius madagascariensis)
Charadriiformes,鸻形目,Scolopacidae,Sandpipers and Allies,,Scolopax,,1,丘鹬 (Scolopax rusticola)
Charadriiformes,鸻形目,Scolopacidae,Sandpipers and Allies,,Xenus,,1,翘嘴鹬 (Xenus cinereus)
Ciconiiformes,鹳形目,Ciconiidae,Storks,,Ciconia,,1,东方白鹳 (Ciconia boyciana)
Ciconiiformes,鹳形目,Ciconiidae,Storks,,Leptoptilos,,1,秃鹳 (Leptoptilos javanicus)
Columbiformes,鸽形目,Columbidae,Doves and Pigeons,,Geopelia,,1,斑姬地鸠 (Geopelia striata)
Columbiformes,鸽形目,Columbidae,Doves and Pigeons,,Streptopelia,,1,灰斑鸠 (Streptopelia decaocto)
Coraciiformes,佛法僧目,Alcedinidae,Kingfishers,,Alcedo,,1,斑头大翠鸟 (Alcedo hercules)
Coraciiformes,佛法僧目,Alcedinidae,Kingfishers,,Halcyon,,1,蓝翡翠 (Halcyon pileata)
Coraciiformes,佛法僧目,Coraciidae,Rollers,,Coracias,,1,棕胸佛法僧 (Coracias affinis)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Chrysococcyx,,1,翠金鹃 (Chrysococcyx maculatus)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Clamator,,1,红翅凤头鹃 (Clamator coromandus)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Cuculus,,1,中杜鹃 (Cuculus saturatus)
Falconiformes,隼形目,Falconidae,Falcons and Caracaras,隼科,Falco,,1,黄爪隼 (Falco naumanni)
Falconiformes,隼形目,Falconidae,Falcons and Caracaras,隼科,Microhierax,,1,白腿小隼 (Microhierax melanoleucos)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Alectoris,,1,大石鸡 (Alectoris magna)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Coturnix,,1,鹌鹑 (Coturnix japonica)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Lerwa,,1,雪鹑 (Lerwa lerwa)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Tetraogallus,,1,阿尔泰雪鸡 (Tetraogallus altaicus)
Gruiformes,鹤形目,Gruidae,Cranes,,Antigone,,1,白枕鹤 (Antigone vipio)
Gruiformes,鹤形目,Gruidae,Cranes,,Leucogeranus,,1,白鹤 (Leucogeranus leucogeranus)
Gruiformes,鹤形目,Heliornithidae,Finfoots,,Heliopais,,1,亚洲鳍趾䴘 (Heliopais personatus)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Coturnicops,,1,花田鸡 (Coturnicops exquisitus)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Crex,,1,长脚秧鸡 (Crex crex)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Gallicrex,,1,董鸡 (Gallicrex cinerea)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Poliolimnas,,1,白眉田鸡 (Poliolimnas cinereus)
Otidiformes,鸨形目,Otididae,Bustards,,Chlamydotis,,1,波斑鸨 (Chlamydotis macqueenii)
Otidiformes,鸨形目,Otididae,Bustards,,Tetrax,,1,小鸨 (Tetrax tetrax)
Passeriformes,雀形目,Acrocephalidae,Reed Warblers and Allies,,Iduna,,1,赛氏篱莺 (Iduna rama)
