status,matchMethod,CBR row,CBR scientific name,CBR Chinese name,CBR English name,AviList scientific name used,AviList English name,candidate scientific names,CBR notes
matched_exact,scientificName,1341,Cercotrichas galactotes,棕薮鸲,Rufous-tailed Scrub Robin,Cercotrichas galactotes,Rufous-tailed Scrub Robin,,
matched_exact,scientificName,1342,Copsychus saularis,鹊鸲,Oriental Magpie Robin,Copsychus saularis,Oriental Magpie-Robin,,
matched_exact,scientificName,1343,Copsychus malabaricus,白腰鹊鸲,White-rumped Shama,Copsychus malabaricus,White-rumped Shama,,
matched_exact,scientificName,1344,Muscicapa griseisticta,灰纹鹟,Grey-streaked Flycatcher,Muscicapa griseisticta,Grey-streaked Flycatcher,,
matched_exact,scientificName,1345,Muscicapa sibirica,乌鹟,Dark-sided Flycatcher,Muscicapa sibirica,Dark-sided Flycatcher,,
matched_exact,scientificName,1346,Muscicapa ferruginea,棕尾褐鹟,Ferruginous Flycatcher,Muscicapa ferruginea,Ferruginous Flycatcher,,
matched_exact,scientificName,1347,Muscicapa muttui,褐胸鹟,Brown-breasted Flycatcher,Muscicapa muttui,Brown-breasted Flycatcher,,
matched_exact,scientificName,1348,Muscicapa dauurica,北灰鹟,Asian Brown Flycatcher,Muscicapa dauurica,Asian Brown Flycatcher,,
matched_exact,scientificName,1349,Muscicapa striata,斑鹟,Spotted Flycatcher,Muscicapa striata,Spotted Flycatcher,,
matched_exact,scientificName,1350,Leucoptilon concretum,白尾蓝仙鹟,White-tailed Flycatcher,Leucoptilon concretum,White-tailed Flycatcher,,学名由Cyornis concretum改为Leucoptilon concretum（Sangster et al. 2021）
matched_exact,scientificName,1351,Niltava davidi,棕腹大仙鹟,Fujian Niltava,Niltava davidi,Fujian Niltava,,
matched_exact,scientificName,1352,Niltava sundara,棕腹仙鹟,Rufous-bellied Niltava,Niltava sundara,Rufous-bellied Niltava,,
matched_exact,scientificName,1353,Niltava oatesi,棕腹蓝仙鹟,Chinese Vivid Niltava,Niltava oatesi,Chinese Vivid Niltava,,"将棕腹蓝仙鹟的oatesi亚种提升为独立种Niltava oatesi（Rasmussen & Anderton 2005, 2012; HBW/BirdLife, Boesman in HBW），中文名保留棕腹蓝仙鹟，英文名为Chinese Vivid Niltava"
matched_exact,scientificName,1354,Niltava vivida,台湾蓝仙鹟,Taiwan Vivid Niltava,Niltava vivida,Taiwan Vivid Niltava,,中文名由棕腹蓝仙鹟改为台湾蓝仙鹟，英文名由Vivid Niltava改为Taiwan Vivid Niltava
matched_exact,scientificName,1355,Niltava grandis,大仙鹟,Large Niltava,Niltava grandis,Large Niltava,,
matched_exact,scientificName,1356,Niltava macgrigoriae,小仙鹟,Small Niltava,Niltava macgrigoriae,Small Niltava,,
matched_exact,scientificName,1357,Cyanoptila cyanomelana,白腹蓝鹟,Blue-and-white Flycatcher,Cyanoptila cyanomelana,Blue-and-white Flycatcher,,
matched_exact,scientificName,1358,Cyanoptila cumatilis,琉璃蓝鹟,Zappey's Flycatcher,Cyanoptila cumatilis,Zappey's Flycatcher,,
matched_exact,scientificName,1359,Eumyias thalassinus,铜蓝鹟,Verditer Flycatcher,Eumyias thalassinus,Verditer Flycatcher,,
matched_exact,scientificName,1360,Anthipes monileger,白喉姬鹟,White-gorgeted Flycatcher,Anthipes monileger,White-gorgeted Flycatcher,,
matched_exact,scientificName,1361,Cyornis unicolor,纯蓝仙鹟,Pale Blue Flycatcher,Cyornis unicolor,Pale Blue Flycatcher,,
matched_exact,scientificName,1362,Cyornis glaucicomans,中华仙鹟,Chinese Blue Flycatcher,Cyornis glaucicomans,Chinese Blue Flycatcher,,
matched_exact,scientificName,1363,Cyornis rubeculoides,蓝喉仙鹟,Blue-throated Flycatcher,Cyornis rubeculoides,Blue-throated Blue Flycatcher,,
matched_exact,scientificName,1364,Cyornis hainanus,海南蓝仙鹟,Hainan Blue Flycatcher,Cyornis hainanus,Hainan Blue Flycatcher,,
matched_exact,scientificName,1365,Cyornis brunneatus,白喉林鹟,Brown-chested Jungle Flycatcher,Cyornis brunneatus,Brown-chested Jungle Flycatcher,,
matched_exact,scientificName,1366,Cyornis magnirostris,大蓝仙鹟,Large Blue Flycatcher,Cyornis magnirostris,Large Blue Flycatcher,,2021年中国（西藏）新纪录（岩道等  2022）
matched_exact,scientificName,1367,Cyornis whitei,山蓝仙鹟,Hill Blue Flycatcher,Cyornis whitei,Hill Blue Flycatcher,,
matched_exact,scientificName,1368,Cyornis poliogenys,灰颊仙鹟,Pale-chinned Flycatcher,Cyornis poliogenys,Pale-chinned Flycatcher,,
matched_exact,scientificName,1369,Erithacus rubecula,欧亚鸲,European Robin,Erithacus rubecula,European Robin,,
matched_exact,scientificName,1370,Luscinia megarhynchos,新疆歌鸲,Common Nightingale,Luscinia megarhynchos,Common Nightingale,,
matched_exact,scientificName,1371,Luscinia svecica,蓝喉歌鸲,Bluethroat,Luscinia svecica,Bluethroat,,
matched_exact,scientificName,1372,Luscinia phaenicuroides,白腹短翅鸲,White-bellied Redstart,Luscinia phaenicuroides,White-bellied Redstart,,
matched_exact,scientificName,1373,Myiomela leucura,白尾蓝地鸲,White-tailed Robin,Myiomela leucura,White-tailed Robin,,
matched_exact,scientificName,1374,Calliope obscura,黑喉歌鸲,Blackthroat,Calliope obscura,Blackthroat,,
matched_exact,scientificName,1375,Calliope pectardens,金胸歌鸲,Firethroat,Calliope pectardens,Firethroat,,
matched_exact,scientificName,1376,Calliope calliope,红喉歌鸲,Siberian Rubythroat,Calliope calliope,Siberian Rubythroat,,
matched_exact,scientificName,1377,Calliope pectoralis,黑胸歌鸲,White-tailed Rubythroat,Calliope pectoralis,Himalayan Rubythroat,,
matched_exact,scientificName,1378,Calliope tschebaiewi,白须黑胸歌鸲,Chinese Rubythroat,Calliope tschebaiewi,Chinese Rubythroat,,
matched_exact,scientificName,1379,Enicurus scouleri,小燕尾,Little Forktail,Enicurus scouleri,Little Forktail,,
matched_exact,scientificName,1380,Enicurus immaculatus,黑背燕尾,Black-backed Forktail,Enicurus immaculatus,Black-backed Forktail,,
matched_exact,scientificName,1381,Enicurus schistaceus,灰背燕尾,Slaty-backed Forktail,Enicurus schistaceus,Slaty-backed Forktail,,
matched_exact,scientificName,1382,Enicurus maculatus,斑背燕尾,Spotted Forktail,Enicurus maculatus,Spotted Forktail,,
matched_exact,scientificName,1383,Enicurus leschenaulti,白冠燕尾,White-crowned Forktail,Enicurus leschenaulti,White-crowned Forktail,,
matched_exact,scientificName,1384,Cinclidium frontale,蓝额长脚地鸲,Blue-fronted Robin,Cinclidium frontale,Blue-fronted Robin,,
matched_exact,scientificName,1385,Myophonus insularis,台湾紫啸鸫,Taiwan Whistling Thrush,Myophonus insularis,Taiwan Whistling Thrush,,
matched_exact,scientificName,1386,Myophonus caeruleus,紫啸鸫,Blue Whistling Thrush,Myophonus caeruleus,Blue Whistling Thrush,,
matched_exact,scientificName,1387,Brachypteryx cruralis,喜山短翅鸫,Himalayan Shortwing,Brachypteryx cruralis,Himalayan Shortwing,,IUCN红色名录等级改为LC
matched_exact,scientificName,1388,Brachypteryx sinensis,中华短翅鸫,Chinese Shortwing,Brachypteryx sinensis,Chinese Shortwing,,IUCN红色名录等级改为LC
matched_exact,scientificName,1389,Brachypteryx goodfellowi,台湾短翅鸫,Taiwan Shortwing,Brachypteryx goodfellowi,Taiwan Shortwing,,IUCN红色名录等级改为LC
matched_exact,scientificName,1390,Brachypteryx hyperythra,锈腹短翅鸫,Rusty-bellied Shortwing,Brachypteryx hyperythra,Rusty-bellied Shortwing,,
matched_exact,scientificName,1391,Brachypteryx leucophris,白喉短翅鸫,Lesser Shortwing,Brachypteryx leucophris,Lesser Shortwing,,
