Order,Order Chinese,Family,Family English,Family Chinese,Genus,Suggested Chinese genus name,Species count in AviList sample,China range keyword species count,Example species
Coraciiformes,佛法僧目,Coraciidae,Rollers,,Eurystomus,,4,0,蓝喉三宝鸟 (Eurystomus gularis); 阔嘴三宝鸟 (Eurystomus glaucurus); 翠蓝三宝鸟 (Eurystomus azureus)
Coraciiformes,佛法僧目,Meropidae,Bee-eaters,,Meropogon,,1,0,须蜂虎 (Meropogon forsteni)
Coraciiformes,佛法僧目,Meropidae,Bee-eaters,,Nyctyornis,,2,0,赤须夜蜂虎 (Nyctyornis amictus); 蓝须夜蜂虎 (Nyctyornis athertoni)
Coraciiformes,佛法僧目,Momotidae,Motmots,,Aspatha,,1,0,蓝喉翠鴗 (Aspatha gularis)
Coraciiformes,佛法僧目,Momotidae,Motmots,,Baryphthengus,,2,0,棕顶翠鴗 (Baryphthengus ruficapillus); 棕翠鴗 (Baryphthengus martii)
Coraciiformes,佛法僧目,Momotidae,Motmots,,Electron,,2,0,隆嘴翠鴗 (Electron carinatum); 阔嘴翠鴗 (Electron platyrhynchum)
Coraciiformes,佛法僧目,Momotidae,Motmots,,Eumomota,,1,0,绿眉翠鴗 (Eumomota superciliosa)
Coraciiformes,佛法僧目,Momotidae,Motmots,,Hylomanes,,1,0,短尾翠鴗 (Hylomanes momotula)
Coraciiformes,佛法僧目,Momotidae,Motmots,,Momotus,,7,0,锈顶翠鴗 (Momotus mexicanus); 蓝顶翠鴗 (Momotus coeruliceps); 雷氏翠鴗 (Momotus lessonii)
Coraciiformes,佛法僧目,Todidae,Todies,,Todus,,5,0,杂色短尾鴗 (Todus multicolor); 阔嘴短尾鴗 (Todus subulatus); 狭嘴短尾鴗 (Todus angustirostris)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Cacomantis,,11,0,栗胸杜鹃 (Cacomantis castaneiventris); 扇尾杜鹃 (Cacomantis flabelliformis); 栗斑杜鹃 (Cacomantis sonneratii)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Caliechthrus,,1,0,白顶噪鹃 (Caliechthrus leucolophus)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Carpococcyx,,3,0,苏门答腊地鹃 (Carpococcyx viridis); 地鹃 (Carpococcyx radiceus); 瑞氏红嘴地鹃 (Carpococcyx renauldi)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Centropus,,28,0,黄头鸦鹃 (Centropus milo); 杂色鸦鹃 (Centropus ateralbus); 比岛鸦鹃 (Centropus chalybeus)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Cercococcyx,,3,0,暗色长尾鹃 (Cercococcyx mechowi); 绿长尾鹃 (Cercococcyx olivinus); 长尾鹃 (Cercococcyx montanus)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Ceuthmochares,,2,0,哨声黄嘴鹃 (Ceuthmochares australis); 黄嘴鹃 (Ceuthmochares aereus)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Chalcites,,8,0,小长嘴鹃 (Chalcites megarhynchus); 霍氏金鹃 (Chalcites basalis); 黑耳金鹃 (Chalcites osculans)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Coccycua,,3,0,小棕鹃 (Coccycua minuta); 小美洲鹃 (Coccycua pumila); 灰美洲鹃 (Coccycua cinerea)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Coccyzus,,13,0,暗嘴美洲鹃 (Coccyzus melacoryphus); 黄嘴美洲鹃 (Coccyzus americanus); 珠胸美洲鹃 (Coccyzus euleri)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Coua,,11,0,凤头马岛鹃 (Coua cristata); 南凤头马岛鹃 (Coua verreauxi); 蓝马岛鹃 (Coua caerulea)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Crotophaga,,3,0,大犀鹃 (Crotophaga major); 滑嘴犀鹃 (Crotophaga ani); 沟嘴犀鹃 (Crotophaga sulcirostris)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Dasylophus,,2,0,鳞纹地鹃 (Dasylophus cumingi); 蓬冠地鹃 (Dasylophus superciliosus)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Dromococcyx,,2,0,雉鹃 (Dromococcyx phasianellus); 小雉鹃 (Dromococcyx pavoninus)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Eudynamys,,3,0,噪鹃 (Eudynamys scolopaceus); 黑嘴噪鹃 (Eudynamys melanorhynchus); 太平洋噪鹃 (Eudynamys orientalis)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Geococcyx,,2,0,走鹃 (Geococcyx californianus); 小走鹃 (Geococcyx velox)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Guira,,1,0,圭拉鹃 (Guira guira)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Heteroscenes,,1,0,淡色杜鹃 (Heteroscenes pallidus)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Microdynamis,,1,0,黑顶鹃 (Microdynamis parva)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Morococcyx,,1,0,小地鹃 (Morococcyx erythropygus)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Nannococcyx,,1,0,圣赫勒拿杜鹃 (Nannococcyx psix)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Neomorphus,,5,0,棕腹鸡鹃 (Neomorphus geoffroyi); 鳞鸡鹃 (Neomorphus squamiger); 斑鸡鹃 (Neomorphus radiolosus)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Pachycoccyx,,1,0,厚嘴杜鹃 (Pachycoccyx audeberti)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Phaenicophaeus,,7,0,栗胸地鹃 (Phaenicophaeus curvirostris); 孟塔维地鹃 (Phaenicophaeus oeneicaudus); 棕腹地鹃 (Phaenicophaeus sumatranus)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Piaya,,3,0,灰腹棕鹃 (Piaya cayana); Mexican Squirrel Cuckoo (Piaya mexicana); 黑腹棕鹃 (Piaya melanogaster)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Rhamphococcyx,,1,0,火红嘴地鹃 (Rhamphococcyx calyorhynchus)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Rhinortha,,1,0,棕胸地鹃 (Rhinortha chlorophaea)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Scythrops,,1,0,沟嘴鹃 (Scythrops novaehollandiae)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Surniculus,,4,0,叉尾乌鹃 (Surniculus dicruroides); 菲律宾乌鹃 (Surniculus velutinus); 乌鹃 (Surniculus lugubris)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Taccocua,,1,0,短嘴地鹃 (Taccocua leschenaultii)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Tapera,,1,0,纵纹鹃 (Tapera naevia)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Urodynamis,,1,0,长尾噪鹃 (Urodynamis taitensis)
Cuculiformes,鹃形目,Cuculidae,Cuckoos,,Zanclostomus,,1,0,红嘴地鹃 (Zanclostomus javanicus)
Eurypygiformes,日鳽目,Eurypygidae,Sunbittern,,Eurypyga,,1,0,日鳽 (Eurypyga helias)
Eurypygiformes,日鳽目,Rhynochetidae,Kagu,,Rhynochetos,,1,0,鹭鹤 (Rhynochetos jubatus)
Falconiformes,隼形目,Falconidae,Falcons and Caracaras,隼科,Caracara,,2,0,瓜达卢长腿兀鹰 (Caracara lutosa); 凤头巨隼 (Caracara plancus)
Falconiformes,隼形目,Falconidae,Falcons and Caracaras,隼科,Daptrius,,7,0,黄头叫隼 (Daptrius chimachima); 黑巨隼 (Daptrius ater); 叫隼 (Daptrius chimango)
Falconiformes,隼形目,Falconidae,Falcons and Caracaras,隼科,Herpetotheres,,1,0,笑隼 (Herpetotheres cachinnans)
Falconiformes,隼形目,Falconidae,Falcons and Caracaras,隼科,Ibycter,,1,0,红喉巨隼 (Ibycter americanus)
Falconiformes,隼形目,Falconidae,Falcons and Caracaras,隼科,Micrastur,,7,0,巴氏林隼 (Micrastur buckleyi); 领林隼 (Micrastur semitorquatus); 灰背林隼 (Micrastur mirandollei)
Falconiformes,隼形目,Falconidae,Falcons and Caracaras,隼科,Neohierax,,1,0,白腰侏隼 (Neohierax insignis)
Falconiformes,隼形目,Falconidae,Falcons and Caracaras,隼科,Polihierax,,1,0,非洲侏隼 (Polihierax semitorquatus)
Falconiformes,隼形目,Falconidae,Falcons and Caracaras,隼科,Spiziapteryx,,1,0,斑翅花隼 (Spiziapteryx circumcincta)
Galbuliformes,鴷形目,Bucconidae,Puffbirds,,Bucco,,4,0,栗顶蓬头䴕 (Bucco macrodactylus); 斑蓬头䴕 (Bucco tamatia); 乌顶蓬头䴕 (Bucco noanamae)
Galbuliformes,鴷形目,Bucconidae,Puffbirds,,Chelidoptera,,1,0,燕翅䴕 (Chelidoptera tenebrosa)
Galbuliformes,鴷形目,Bucconidae,Puffbirds,,Hapaloptila,,1,0,白脸䴕 (Hapaloptila castanea)
Galbuliformes,鴷形目,Bucconidae,Puffbirds,,Hypnelus,,2,0,双斑蓬头䴕 (Hypnelus bicinctus); 黄喉蓬头䴕 (Hypnelus ruficollis)
Galbuliformes,鴷形目,Bucconidae,Puffbirds,,Malacoptila,,7,0,白胸蓬头䴕 (Malacoptila fusca); 半领蓬头䴕 (Malacoptila semicincta); 月胸蓬头䴕 (Malacoptila striata)
Galbuliformes,鴷形目,Bucconidae,Puffbirds,,Micromonacha,,1,0,矛蓬头䴕 (Micromonacha lanceolata)
Galbuliformes,鴷形目,Bucconidae,Puffbirds,,Monasa,,4,0,黑䴕 (Monasa atra); 黑额黑䴕 (Monasa nigrifrons); 白额黑䴕 (Monasa morphoeus)
Galbuliformes,鴷形目,Bucconidae,Puffbirds,,Nonnula,,6,0,锈胸小蓬头䴕 (Nonnula rubecula); 褐颊小蓬头䴕 (Nonnula sclateri); 褐小蓬头䴕 (Nonnula brunnea)
Galbuliformes,鴷形目,Bucconidae,Puffbirds,,Notharchus,,6,0,白颈蓬头䴕 (Notharchus hyperrhynchus); 圭亚那蓬头䴕 (Notharchus macrorhynchos); 黄腹蓬头䴕 (Notharchus swainsoni)
Galbuliformes,鴷形目,Bucconidae,Puffbirds,,Nystalus,,5,0,横斑蓬头䴕 (Nystalus radiatus); 西条纹蓬头䴕 (Nystalus obamai); 条纹蓬头䴕 (Nystalus striolatus)
Galbuliformes,鴷形目,Galbulidae,Jacamars,,Brachygalba,,4,0,白喉鹟䴕 (Brachygalba albogularis); 褐鹟䴕 (Brachygalba lugubris); 苍头鹟䴕 (Brachygalba goeringi)
Galbuliformes,鴷形目,Galbulidae,Jacamars,,Galbalcyrhynchus,,2,0,白耳鹟䴕 (Galbalcyrhynchus leucotis); 栗鹟䴕 (Galbalcyrhynchus purusianus)
Galbuliformes,鴷形目,Galbulidae,Jacamars,,Galbula,,10,0,黄嘴鹟䴕 (Galbula albirostris); 蓝颈鹟䴕 (Galbula cyanicollis); 棕尾鹟䴕 (Galbula ruficauda)
Galbuliformes,鴷形目,Galbulidae,Jacamars,,Jacamaralcyon,,1,0,三趾鹟䴕 (Jacamaralcyon tridactyla)
Galbuliformes,鴷形目,Galbulidae,Jacamars,,Jacamerops,,1,0,大鹟䴕 (Jacamerops aureus)
Galliformes,鸡形目,Cracidae,"Guans, Curassows, and Chachalacas",,Aburria,,1,0,肉垂冠雉 (Aburria aburri)
Galliformes,鸡形目,Cracidae,"Guans, Curassows, and Chachalacas",,Chamaepetes,,2,0,黑镰翅冠雉 (Chamaepetes unicolor); 褐镰翅冠雉 (Chamaepetes goudotii)
Galliformes,鸡形目,Cracidae,"Guans, Curassows, and Chachalacas",,Crax,,7,0,大凤冠雉 (Crax rubra); 蓝嘴凤冠雉 (Crax alberti); 黄瘤凤冠雉 (Crax daubentoni)
Galliformes,鸡形目,Cracidae,"Guans, Curassows, and Chachalacas",,Mitu,,4,0,无冠盔嘴雉 (Mitu tomentosum); 白腹盔嘴雉 (Mitu salvini); 巨嘴盔嘴雉 (Mitu tuberosum)
Galliformes,鸡形目,Cracidae,"Guans, Curassows, and Chachalacas",,Nothocrax,,1,0,夜冠雉 (Nothocrax urumutum)
Galliformes,鸡形目,Cracidae,"Guans, Curassows, and Chachalacas",,Oreophasis,,1,0,角冠雉 (Oreophasis derbianus)
Galliformes,鸡形目,Cracidae,"Guans, Curassows, and Chachalacas",,Ortalis,,16,0,纯色小冠雉 (Ortalis vetula); 灰头小冠雉 (Ortalis cinereiceps); 栗翅小冠雉 (Ortalis garrula)
Galliformes,鸡形目,Cracidae,"Guans, Curassows, and Chachalacas",,Pauxi,,3,0,盔凤冠雉 (Pauxi pauxi); 希拉盔嘴雉 (Pauxi koepckeae); 单盔凤冠雉 (Pauxi unicornis)
Galliformes,鸡形目,Cracidae,"Guans, Curassows, and Chachalacas",,Penelope,,16,0,斑尾冠雉 (Penelope argyrotis); 须冠雉 (Penelope barbata); 古铜冠雉 (Penelope ortoni)
Galliformes,鸡形目,Cracidae,"Guans, Curassows, and Chachalacas",,Penelopina,,1,0,山冠雉 (Penelopina nigra)
Galliformes,鸡形目,Cracidae,"Guans, Curassows, and Chachalacas",,Pipile,,5,0,鸣冠雉 (Pipile pipile); 蓝喉鸣冠雉 (Pipile cumanensis); 白喉鸣冠雉 (Pipile grayi)
Galliformes,鸡形目,Megapodiidae,Megapodes,,Aepypodius,,2,0,冠塚雉 (Aepypodius bruijnii); 肉垂塚雉 (Aepypodius arfakianus)
Galliformes,鸡形目,Megapodiidae,Megapodes,,Alectura,,1,0,大塚雉 (Alectura lathami)
Galliformes,鸡形目,Megapodiidae,Megapodes,,Eulipoa,,1,0,摩鹿加塚雉 (Eulipoa wallacei)
Galliformes,鸡形目,Megapodiidae,Megapodes,,Leipoa,,1,0,斑塚雉 (Leipoa ocellata)
Galliformes,鸡形目,Megapodiidae,Megapodes,,Macrocephalon,,1,0,塚雉 (Macrocephalon maleo)
Galliformes,鸡形目,Megapodiidae,Megapodes,,Megapodius,,12,0,汤加塚雉 (Megapodius pritchardii); 马岛塚雉 (Megapodius laperouse); 尼柯巴塚雉 (Megapodius nicobariensis)
Galliformes,鸡形目,Megapodiidae,Megapodes,,Talegalla,,3,0,红嘴塚雉 (Talegalla cuvieri); 黑嘴塚雉 (Talegalla fuscirostris); 褐领塚雉 (Talegalla jobiensis)
Galliformes,鸡形目,Numididae,Guineafowl,,Acryllium,,1,0,鹫珠鸡 (Acryllium vulturinum)
Galliformes,鸡形目,Numididae,Guineafowl,,Agelastes,,2,0,白胸珠鸡 (Agelastes meleagrides); 黑珠鸡 (Agelastes niger)
Galliformes,鸡形目,Numididae,Guineafowl,,Guttera,,4,0,长冠珠鸡 (Guttera plumifera); 冠珠鸡 (Guttera pucherani); 西冠珠鸡 (Guttera verreauxi)
Galliformes,鸡形目,Numididae,Guineafowl,,Numida,,1,0,珠鸡 (Numida meleagris)
Galliformes,鸡形目,Odontophoridae,New World Quail,,Callipepla,,4,0,黑腹翎鹑 (Callipepla gambelii); 珠颈斑鹑 (Callipepla californica); 鳞斑鹑 (Callipepla squamata)
Galliformes,鸡形目,Odontophoridae,New World Quail,,Colinus,,4,0,山齿鹑 (Colinus virginianus); 黑喉齿鹑 (Colinus nigrogularis); 斑胸齿鹑 (Colinus leucopogon)
Galliformes,鸡形目,Odontophoridae,New World Quail,,Cyrtonyx,,2,0,眼斑彩鹑 (Cyrtonyx ocellatus); 彩鹑 (Cyrtonyx montezumae)
Galliformes,鸡形目,Odontophoridae,New World Quail,,Dactylortyx,,1,0,歌鹑 (Dactylortyx thoracicus)
Galliformes,鸡形目,Odontophoridae,New World Quail,,Dendrortyx,,3,0,黄顶林鹑 (Dendrortyx leucophrys); 长尾林鹑 (Dendrortyx macroura); 须林鹑 (Dendrortyx barbatus)
Galliformes,鸡形目,Odontophoridae,New World Quail,,Odontophorus,,15,0,云斑林鹑 (Odontophorus gujanensis); 斑翅林鹑 (Odontophorus capueira); 黑耳林鹑 (Odontophorus melanotis)
Galliformes,鸡形目,Odontophoridae,New World Quail,,Oreortyx,,1,0,山翎鹑 (Oreortyx pictus)
Galliformes,鸡形目,Odontophoridae,New World Quail,,Philortyx,,1,0,斑鹑 (Philortyx fasciatus)
Galliformes,鸡形目,Odontophoridae,New World Quail,,Ptilopachus,,2,0,纳氏石鹑 (Ptilopachus nahani); 石鹑 (Ptilopachus petrosus)
Galliformes,鸡形目,Odontophoridae,New World Quail,,Rhynchortyx,,1,0,茶脸鹑 (Rhynchortyx cinctus)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Afropavo,,1,0,刚果孔雀 (Afropavo congensis)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Ammoperdix,,2,0,漠鹑 (Ammoperdix griseogularis); 沙鹑 (Ammoperdix heyi)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Argusianus,,1,0,大眼斑雉 (Argusianus argus)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Bonasa,,1,0,披肩榛鸡 (Bonasa umbellus)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Caloperdix,,1,0,锈红林鹧鸪 (Caloperdix oculeus)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Campocolinus,,3,0,栗顶鹧鸪 (Campocolinus coqui); 白喉鹧鸪 (Campocolinus albogularis); 栗喉鹧鸪 (Campocolinus schlegelii)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Canachites,,1,0,枞树镰翅鸡 (Canachites canadensis)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Catreus,,1,0,彩雉 (Catreus wallichii)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Centrocercus,,2,0,艾草松鸡 (Centrocercus urophasianus); 小艾草松鸡 (Centrocercus minimus)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Dendragapus,,2,0,乌镰翅鸡 (Dendragapus fuliginosus); 蓝镰翅鸡 (Dendragapus obscurus)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Falcipennis,,1,0,镰翅鸡 (Falcipennis falcipennis)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Francolinus,,3,0,中华鹧鸪 (Francolinus pintadeanus); 花彩鹧鸪 (Francolinus pictus); 黑鹧鸪 (Francolinus francolinus)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Galloperdix,,3,0,赤鸡鹑 (Galloperdix spadicea); 彩鸡鹑 (Galloperdix lunulata); 斯里兰卡鸡鹑 (Galloperdix bicalcarata)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Gallus,,4,0,绿原鸡 (Gallus varius); 红原鸡 (Gallus gallus); 灰原鸡 (Gallus sonneratii)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Haematortyx,,1,0,红头林鹧鸪 (Haematortyx sanguiniceps)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Ithaginis,,1,0,血雉 (Ithaginis cruentus)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Lagopus,,4,0,白尾雷鸟 (Lagopus leucura); 岩雷鸟 (Lagopus muta); 苏格兰雷鸟 (Lagopus scotica)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Lyrurus,,2,0,高加索黑琴鸡 (Lyrurus mlokosiewiczi); 黑琴鸡 (Lyrurus tetrix)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Margaroperdix,,1,0,马岛鹑 (Margaroperdix madagarensis)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Melanoperdix,,1,0,黑鹑 (Melanoperdix niger)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Meleagris,,2,0,眼斑火鸡 (Meleagris ocellata); 火鸡 (Meleagris gallopavo)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Ophrysia,,1,0,喜山鹑 (Ophrysia superciliosa)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Ortygornis,,3,0,凤头鹧鸪 (Ortygornis sephaena); 沼泽鹧鸪 (Ortygornis gularis); 灰鹧鸪 (Ortygornis pondicerianus)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Pavo,,2,0,蓝孔雀 (Pavo cristatus); 绿孔雀 (Pavo muticus)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Peliperdix,,1,0,林鹧鸪 (Peliperdix lathami)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Perdicula,,4,0,丛林鹑 (Perdicula asiatica); 岩林鹑 (Perdicula argoondah); 红嘴林鹑 (Perdicula erythrorhyncha)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Perdix,,3,0,高原山鹑 (Perdix hodgsoniae); 斑翅山鹑 (Perdix dauurica); 灰山鹑 (Perdix perdix)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Phasianus,,2,0,绿雉 (Phasianus versicolor); 雉鸡 (Phasianus colchicus)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Pternistis,,23,0,哈氏鹧鸪 (Pternistis hartlaubi); 艳鹧鸪 (Pternistis nobilis); 喀麦隆鹧鸪 (Pternistis camerunensis)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Pucrasia,,1,0,勺鸡 (Pucrasia macrolopha)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Rheinardia,,2,0,冠眼斑雉 (Rheinardia ocellata); 马来冠眼斑雉 (Rheinardia nigrescens)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Rhizothera,,2,0,长嘴山鹑 (Rhizothera longirostris); 白腹长嘴山鹑 (Rhizothera dulitensis)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Rollulus,,1,0,冕鹧鸪 (Rollulus rouloul)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Scleroptila,,9,0,环颈鹧鸪 (Scleroptila streptophora); 红翅鹧鸪 (Scleroptila levaillantii); 芬氏鹧鸪 (Scleroptila finschi)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Synoicus,,4,0,褐鹌鹑 (Synoicus ypsilophorus); 雪山鹑 (Synoicus monorthonyx); 蓝胸鹑 (Synoicus chinensis)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Tetrao,,2,0,黑嘴松鸡 (Tetrao urogalloides); 西方松鸡 (Tetrao urogallus)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Tetrastes,,2,0,斑尾榛鸡 (Tetrastes sewerzowi); 花尾榛鸡 (Tetrastes bonasia)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Tropicoperdix,,3,0,绿脚树鹧鸪 (Tropicoperdix chloropus); 栗胸树鹧鸪 (Tropicoperdix charltonii); 沙巴树鹧鸪 (Tropicoperdix graydoni)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Tympanuchus,,3,0,尖尾松鸡 (Tympanuchus phasianellus); 草原松鸡 (Tympanuchus cupido); 小草原松鸡 (Tympanuchus pallidicinctus)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Xenoperdix,,1,0,坦桑尼亚鹑 (Xenoperdix udzungwensis)
Gaviiformes,潜鸟目,Gaviidae,Loons,,Gavia,,5,0,红喉潜鸟 (Gavia stellata); 普通潜鸟 (Gavia immer); 黄嘴潜鸟 (Gavia adamsii)
Gruiformes,鹤形目,Aramidae,Limpkin,,Aramus,,1,0,秧鹤 (Aramus guarauna)
Gruiformes,鹤形目,Gruidae,Cranes,,Balearica,,2,0,灰冕鹤 (Balearica regulorum); 黑冕鹤 (Balearica pavonina)
Gruiformes,鹤形目,Heliornithidae,Finfoots,,Heliornis,,1,0,日䴘 (Heliornis fulica)
Gruiformes,鹤形目,Heliornithidae,Finfoots,,Podica,,1,0,非洲鳍趾䴘 (Podica senegalensis)
Gruiformes,鹤形目,Psophiidae,Trumpeters,,Psophia,,3,0,灰翅喇叭声鹤 (Psophia crepitans); 白翅喇叭声鹤 (Psophia leucoptera); 绿翅喇叭声鹤 (Psophia viridis)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Aenigmatolimnas,,1,0,斑纹田鸡 (Aenigmatolimnas marginalis)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Amaurolimnas,,1,0,纯色秧鸡 (Amaurolimnas concolor)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Amaurornis,,5,0,苏拉威西苦恶鸟 (Amaurornis isabellina); 菲律宾苦恶鸟 (Amaurornis olivacea); 白胸苦恶鸟 (Amaurornis phoenicurus)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Anurolimnas,,1,0,栗头田鸡 (Anurolimnas castaneiceps)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Aphanapteryx,,1,0,红秧鸡 (Aphanapteryx bonasia)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Aphanocrex,,1,0,圣岛秧鸡 (Aphanocrex podarces)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Aramides,,8,0,大林秧鸡 (Aramides ypecaha); 褐林秧鸡 (Aramides wolfi); 小林秧鸡 (Aramides mangle)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Aramidopsis,,1,0,普氏秧鸡 (Aramidopsis plateni)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Canirallus,,1,0,灰喉秧鸡 (Canirallus oculeus)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Crecopsis,,1,0,非洲秧鸡 (Crecopsis egregia)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Diaphorapteryx,,1,0,大查岛秧鸡 (Diaphorapteryx hawkinsi)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Dryolimnas,,2,0,留尼汪秧鸡 (Dryolimnas augusti); 白喉秧鸡 (Dryolimnas cuvieri)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Erythromachus,,1,0,罗德里格斯秧鸡 (Erythromachus leguati)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Fulica,,11,0,红额骨顶 (Fulica rufifrons); 角骨顶 (Fulica cornuta); 黄腿骨顶 (Fulica armillata)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Gallinula,,7,0,圣岛骨顶 (Gallinula silvestris); 特岛骨顶 (Gallinula nesiotis); 果夫岛黑水鸡 (Gallinula comeri)
