Order,Order Chinese,Family,Family English,Family Chinese,Genus,Suggested Chinese genus name,Species count in AviList sample,China range keyword species count,Example species
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Syrmaticus,,5,3,铜长尾雉 (Syrmaticus soemmerringii); 白冠长尾雉 (Syrmaticus reevesii); 黑长尾雉 (Syrmaticus mikado)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Tragopan,,5,3,黑头角雉 (Tragopan melanocephalus); 红胸角雉 (Tragopan satyra); 灰腹角雉 (Tragopan blythii)
Gruiformes,鹤形目,Gruidae,Cranes,,Grus,,8,3,肉垂鹤 (Grus carunculata); 蓑羽鹤 (Grus virgo); 蓝蓑羽鹤 (Grus paradisea)
Passeriformes,雀形目,Certhiidae,Treecreepers,,Certhia,,9,3,霍氏旋木雀 (Certhia hodgsoni); 旋木雀 (Certhia familiaris); 短趾旋木雀 (Certhia brachydactyla)
Passeriformes,雀形目,Fringillidae,"Finches, Euphonias, and Allies",,Pyrrhula,,8,3,白颊灰雀 (Pyrrhula leucogenis); 褐灰雀 (Pyrrhula nipalensis); 亚速尔灰雀 (Pyrrhula murina)
Passeriformes,雀形目,Laniidae,Shrikes,,Lanius,,30,3,东非长尾伯劳 (Lanius cabanisi); 灰背长尾伯劳 (Lanius excubitoroides); 肯尼亚伯劳 (Lanius dorsalis)
Passeriformes,雀形目,Leiothrichidae,Laughingthrushes and Allies,,Garrulax,,14,3,斑胸噪鹛 (Garrulax merulinus); 橙胸噪鹛 (Garrulax annamensis); 画眉 (Garrulax canorus)
Passeriformes,雀形目,Leiothrichidae,Laughingthrushes and Allies,,Ianthocincla,,8,3,黑额山噪鹛 (Ianthocincla sukatschewi); 棕颏噪鹛 (Ianthocincla rufogularis); 棕耳噪鹛 (Ianthocincla konkakinhensis)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Calliope,,5,3,金胸歌鸲 (Calliope pectardens); 黑喉歌鸲 (Calliope obscura); 红喉歌鸲 (Calliope calliope)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Enicurus,,8,3,小燕尾 (Enicurus scouleri); 白冠燕尾 (Enicurus leschenaulti); 婆罗洲燕尾 (Enicurus borneensis)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Larvivora,,8,3,栗腹歌鸲 (Larvivora brunnea); 蓝歌鸲 (Larvivora cyane); 日本歌鸲 (Larvivora akahige)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Muscicapa,,16,3,灰纹鹟 (Muscicapa griseisticta); 棕尾褐鹟 (Muscicapa ferruginea); 乌鹟 (Muscicapa sibirica)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Niltava,,7,3,大仙鹟 (Niltava grandis); 小仙鹟 (Niltava macgrigoriae); 棕腹大仙鹟 (Niltava davidi)
Passeriformes,雀形目,Muscicapidae,"Chats, Old World Flycatchers, and Allies",,Phoenicurus,,14,3,红背红尾鸲 (Phoenicurus erythronotus); 贺兰山红尾鸲 (Phoenicurus alaschanicus); 蓝额红尾鸲 (Phoenicurus frontalis)
Passeriformes,雀形目,Paradoxornithidae,Parrotbills and Allies,,Fulvetta,,8,3,棕头雀鹛 (Fulvetta ruficapilla); 中南雀鹛 (Fulvetta danisi); 中华雀鹛 (Fulvetta striaticollis)
Passeriformes,雀形目,Prunellidae,Accentors,,Prunella,,12,3,高原岩鹨 (Prunella himalayana); 领岩鹨 (Prunella collaris); 栗背岩鹨 (Prunella immaculata)
Passeriformes,雀形目,Zosteropidae,"White-eyes, Yuhinas, and Allies",,Yuhina,,7,3,黑颏凤鹛 (Yuhina nigrimenta); 褐头凤鹛 (Yuhina brunneiceps); 黄颈凤鹛 (Yuhina flavicollis)
Accipitriformes,鹰形目,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",鹰科,Gyps,,8,2,白背兀鹫 (Gyps bengalensis); 高山兀鹫 (Gyps himalayensis); 非洲白背兀鹫 (Gyps africanus)
Accipitriformes,鹰形目,Accipitridae,"Kites, Old World Vultures, Eagles, and Hawks",鹰科,Haliaeetus,,4,2,玉带海雕 (Haliaeetus leucoryphus); 虎头海雕 (Haliaeetus pelagicus); 白尾海雕 (Haliaeetus albicilla)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Anser,,11,2,斑头雁 (Anser indicus); 帝雁 (Anser canagicus); 细嘴雁 (Anser rossii)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Cygnus,,6,2,黑颈天鹅 (Cygnus melancoryphus); 疣鼻天鹅 (Cygnus olor); 黑天鹅 (Cygnus atratus)
Anseriformes,雁形目,Anatidae,"Ducks, Swans, and Geese",,Mergus,,5,2,红胸秋沙鸭 (Mergus serrator); 中华秋沙鸭 (Mergus squamatus); 褐秋沙鸭 (Mergus octosetaceus)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Chroicocephalus,,10,2,细嘴鸥 (Chroicocephalus genei); 伯氏鸥 (Chroicocephalus philadelphia); 红嘴鸥 (Chroicocephalus ridibundus)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Ichthyaetus,,6,2,渔鸥 (Ichthyaetus ichthyaetus); 遗鸥 (Ichthyaetus relictus); 奥氏鸥 (Ichthyaetus audouinii)
Charadriiformes,鸻形目,Laridae,"Skimmers, Noddies, Terns, and Gulls",,Sterna,,13,2,黄嘴河燕鸥 (Sterna aurantia); 弗氏燕鸥 (Sterna forsteri); 白顶燕鸥 (Sterna trudeaui)
Ciconiiformes,鹳形目,Ciconiidae,Storks,,Mycteria,,4,2,黑头鹮鹳 (Mycteria americana); 白鹮鹳 (Mycteria cinerea); 黄嘴鹮鹳 (Mycteria ibis)
Coraciiformes,佛法僧目,Meropidae,Bee-eaters,,Merops,,28,2,黑头蜂虎 (Merops breweri); 白额蜂虎 (Merops bullockoides); 赤喉蜂虎 (Merops bulocki)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Bambusicola,,3,2,棕胸竹鸡 (Bambusicola fytchii); 灰胸竹鸡 (Bambusicola thoracicus); 台湾竹鸡 (Bambusicola sonorivox)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Chrysolophus,,2,2,红腹锦鸡 (Chrysolophus pictus); 白腹锦鸡 (Chrysolophus amherstiae)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Lophophorus,,3,2,棕尾虹雉 (Lophophorus impejanus); 白尾梢虹雉 (Lophophorus sclateri); 绿尾虹雉 (Lophophorus lhuysii)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Lophura,,11,2,爱氏鹇 (Lophura edwardsi); 蓝腹鹇 (Lophura swinhoii); 鳞背鹇 (Lophura bulweri)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Polyplectron,,8,2,巴拉望孔雀雉 (Polyplectron napoleonis); 加里曼丹孔雀雉 (Polyplectron schleiermacheri); 凤冠孔雀雉 (Polyplectron malacense)
Galliformes,鸡形目,Phasianidae,"Partridges, Pheasants, Grouse, and Allies",,Tetraophasis,,2,2,红喉雉鹑 (Tetraophasis obscurus); 黄喉雉鹑 (Tetraophasis szechenyii)
Gruiformes,鹤形目,Rallidae,"Rails, Gallinules, and Coots",,Zapornia,,15,2,红胸田鸡 (Zapornia fusca); 斑胁田鸡 (Zapornia paykullii); 红脚田鸡 (Zapornia akool)
Passeriformes,雀形目,Alaudidae,Larks,,Melanocorypha,,5,2,双斑百灵 (Melanocorypha bimaculata); 蒙古百灵 (Melanocorypha mongolica); 长嘴百灵 (Melanocorypha maxima)
Passeriformes,雀形目,Campephagidae,Cuckooshrikes,,Pericrocotus,,14,2,白腹山椒鸟 (Pericrocotus erythropygius); 白额山椒鸟 (Pericrocotus albifrons); 火红山椒鸟 (Pericrocotus igneus)
Passeriformes,雀形目,Cisticolidae,Cisticolas and Allies,,Prinia,,29,2,喜山山鹪莺 (Prinia crinigera); 山鹪莺 (Prinia striata); 缅甸山鹪莺 (Prinia cooki)
