status,Genus,Suggested Chinese genus name,Shared suffix,CBR species count,Example species,Method
accepted,Crossoptilon,马鸡属,马鸡,4,藏马鸡 (Crossoptilon harmani); 白马鸡 (Crossoptilon crossoptilon); 褐马鸡 (Crossoptilon mantchuricum); 蓝马鸡 (Crossoptilon auritum),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Cuculus,杜鹃属,杜鹃,5,小杜鹃 (Cuculus poliocephalus); 四声杜鹃 (Cuculus micropterus); 中杜鹃 (Cuculus saturatus); 东方中杜鹃 (Cuculus optatus); 大杜鹃 (Cuculus canorus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Culicicapa,,方尾鹟,1,方尾鹟 (Culicicapa ceylonensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Curruca,林莺属,林莺,5,横斑林莺 (Curruca nisoria); 白喉林莺 (Curruca curruca); 东歌林莺 (Curruca crassirostris); 亚洲漠地林莺 (Curruca nana); 灰白喉林莺 (Curruca communis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Cutia,,斑胁姬鹛,1,斑胁姬鹛 (Cutia nipalensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Cyanistes,,灰蓝山雀,1,灰蓝山雀 (Cyanistes cyanus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Cyanoderma,穗鹛属,穗鹛,4,金头穗鹛 (Cyanoderma chrysaeum); 黑颏穗鹛 (Cyanoderma pyrrhops); 红头穗鹛 (Cyanoderma ruficeps); 红额穗鹛 (Cyanoderma rufifrons),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Cyanopica,,灰喜鹊,1,灰喜鹊 (Cyanopica cyanus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Cyanoptila,蓝鹟属,蓝鹟,2,白腹蓝鹟 (Cyanoptila cyanomelana); 琉璃蓝鹟 (Cyanoptila cumatilis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Cygnus,天鹅属,天鹅,3,疣鼻天鹅 (Cygnus olor); 小天鹅 (Cygnus columbianus); 大天鹅 (Cygnus cygnus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Cyornis,,鹟,8,纯蓝仙鹟 (Cyornis unicolor); 中华仙鹟 (Cyornis glaucicomans); 蓝喉仙鹟 (Cyornis rubeculoides); 海南蓝仙鹟 (Cyornis hainanus); 白喉林鹟 (Cyornis brunneatus); 大蓝仙鹟 (Cyornis magnirostris); 山蓝仙鹟 (Cyornis whitei); 灰颊仙鹟 (Cyornis poliogenys),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Cypsiurus,,棕雨燕,1,棕雨燕 (Cypsiurus balasiensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Delichon,毛脚燕属,毛脚燕,4,西方毛脚燕 (Delichon urbicum); 白腹毛脚燕 (Delichon lagopodum); 烟腹毛脚燕 (Delichon dasypus); 黑喉毛脚燕 (Delichon nipalense),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Dendrocitta,树鹊属,树鹊,3,棕腹树鹊 (Dendrocitta vagabunda); 灰树鹊 (Dendrocitta formosae); 黑额树鹊 (Dendrocitta frontalis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Dendrocopos,啄木鸟属,啄木鸟,7,棕腹啄木鸟 (Dendrocopos hyperythrus); 茶胸斑啄木鸟 (Dendrocopos macei); 纹胸啄木鸟 (Dendrocopos atratus); 黄颈啄木鸟 (Dendrocopos darjellensis); 白翅啄木鸟 (Dendrocopos leucopterus); 大斑啄木鸟 (Dendrocopos major); 白背啄木鸟 (Dendrocopos leucotos),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Dendrocoptes,,褐额啄木鸟,1,褐额啄木鸟 (Dendrocoptes auriceps),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Dendrocygna,,栗树鸭,1,栗树鸭 (Dendrocygna javanica),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Dendronanthus,,山鹡鸰,1,山鹡鸰 (Dendronanthus indicus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Dicaeum,啄花鸟属,啄花鸟,3,纯色啄花鸟 (Dicaeum minullum); 红胸啄花鸟 (Dicaeum ignipectus); 朱背啄花鸟 (Dicaeum cruentatum),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Dicrurus,,尾,7,古铜色卷尾 (Dicrurus aeneus); 小盘尾 (Dicrurus remifer); 鸦嘴卷尾 (Dicrurus annectens); 大盘尾 (Dicrurus paradiseus); 发冠卷尾 (Dicrurus hottentottus); 灰卷尾 (Dicrurus leucophaeus); 黑卷尾 (Dicrurus macrocercus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Dinopium,,金背三趾啄木鸟,1,金背三趾啄木鸟 (Dinopium javanense),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Dryobates,啄木鸟属,啄木鸟,3,红枕啄木鸟 (Dryobates cathpharius); 赤胸啄木鸟 (Dryobates pernyii); 小斑啄木鸟 (Dryobates minor),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Dryocopus,黑啄木鸟属,黑啄木鸟,2,白腹黑啄木鸟 (Dryocopus javensis); 黑啄木鸟 (Dryocopus martius),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Ducula,皇鸠属,皇鸠,2,绿皇鸠 (Ducula aenea); 山皇鸠 (Ducula badia),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Egretta,,鹭,5,岩鹭 (Egretta sacra); 黄嘴白鹭 (Egretta eulophotes); 白鹭 (Egretta garzetta); 斑鹭 (Egretta picata); 白脸鹭 (Egretta novaehollandiae),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Elachura,,丽星鹩鹛,1,丽星鹩鹛 (Elachura formosa),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Elanus,,黑翅鸢,1,黑翅鸢 (Elanus caeruleus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Emberiza,,鹀,30,凤头鹀 (Emberiza lathami); 蓝鹀 (Emberiza siemsseni); 黍鹀 (Emberiza calandra); 黄鹀 (Emberiza citrinella); 白头鹀 (Emberiza leucocephalos); 淡灰眉岩鹀 (Emberiza cia); 灰眉岩鹀 (Emberiza godlewskii); 三道眉草鹀 (Emberiza cioides),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Enicurus,燕尾属,燕尾,5,小燕尾 (Enicurus scouleri); 黑背燕尾 (Enicurus immaculatus); 灰背燕尾 (Enicurus schistaceus); 斑背燕尾 (Enicurus maculatus); 白冠燕尾 (Enicurus leschenaulti),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Eophona,蜡嘴雀属,蜡嘴雀,2,黑尾蜡嘴雀 (Eophona migratoria); 黑头蜡嘴雀 (Eophona personata),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Eremophila,,角百灵,1,角百灵 (Eremophila alpestris),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Erithacus,,欧亚鸲,1,欧亚鸲 (Erithacus rubecula),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Erpornis,,白腹凤鹛,1,白腹凤鹛 (Erpornis zantholeuca),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Erythrogenys,钩嘴鹛属,钩嘴鹛,5,长嘴钩嘴鹛 (Erythrogenys hypoleucos); 锈脸钩嘴鹛 (Erythrogenys erythrogenys); 斑胸钩嘴鹛 (Erythrogenys gravivox); 华南斑胸钩嘴鹛 (Erythrogenys swinhoei); 台湾斑胸钩嘴鹛 (Erythrogenys erythrocnemis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Erythrura,,长尾鹦雀,1,长尾鹦雀 (Erythrura prasina),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Esacus,,大石鸻,1,大石鸻 (Esacus recurvirostris),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Eudromias,,小嘴鸻,1,小嘴鸻 (Eudromias morinellus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Eudynamys,,噪鹃,1,噪鹃 (Eudynamys scolopaceus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Eumyias,,铜蓝鹟,1,铜蓝鹟 (Eumyias thalassinus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Eurystomus,,三宝鸟,1,三宝鸟 (Eurystomus orientalis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Falcipennis,,镰翅鸡,1,镰翅鸡 (Falcipennis falcipennis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Falco,,隼,10,黄爪隼 (Falco naumanni); 红隼 (Falco tinnunculus); 西红脚隼 (Falco vespertinus); 红脚隼 (Falco amurensis); 灰背隼 (Falco columbarius); 燕隼 (Falco subbuteo); 猛隼 (Falco severus); 猎隼 (Falco cherrug),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Ficedula,姬鹟属,姬鹟,17,白眉姬鹟 (Ficedula zanthopygia); 绿背姬鹟 (Ficedula elisae); 黄眉姬鹟 (Ficedula narcissina); 琉球姬鹟 (Ficedula owstoni); 灰蓝姬鹟 (Ficedula tricolor); 棕胸蓝姬鹟 (Ficedula hyperythra); 鸲姬鹟 (Ficedula mugimaki); 锈胸蓝姬鹟 (Ficedula erithacus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Francolinus,,中华鹧鸪,1,中华鹧鸪 (Francolinus pintadeanus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Fregata,军舰鸟属,军舰鸟,3,白斑军舰鸟 (Fregata ariel); 黑腹军舰鸟 (Fregata minor); 白腹军舰鸟 (Fregata andrewsi),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Fringilla,燕雀属,燕雀,2,苍头燕雀 (Fringilla coelebs); 燕雀 (Fringilla montifringilla),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Fulica,,白骨顶,1,白骨顶 (Fulica atra),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Fulmarus,,暴雪鹱,1,暴雪鹱 (Fulmarus glacialis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Fulvetta,雀鹛属,雀鹛,8,白眉雀鹛 (Fulvetta vinipectus); 中华雀鹛 (Fulvetta striaticollis); 棕头雀鹛 (Fulvetta ruficapilla); 中南雀鹛 (Fulvetta danisi); 路德雀鹛 (Fulvetta ludlowi); 灰头雀鹛 (Fulvetta cinereiceps); 褐头雀鹛 (Fulvetta manipurensis); 玉山雀鹛 (Fulvetta formosana),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Galerida,,凤头百灵,1,凤头百灵 (Galerida cristata),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Gallicrex,,董鸡,1,董鸡 (Gallicrex cinerea),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Gallinago,沙锥属,沙锥,6,孤沙锥 (Gallinago solitaria); 林沙锥 (Gallinago nemoricola); 针尾沙锥 (Gallinago stenura); 大沙锥 (Gallinago megala); 拉氏沙锥 (Gallinago hardwickii); 扇尾沙锥 (Gallinago gallinago),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Gallinula,,黑水鸡,1,黑水鸡 (Gallinula chloropus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Gallus,,红原鸡,1,红原鸡 (Gallus gallus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Gampsorhynchus,鵙鹛属,鵙鹛,2,白头鵙鹛 (Gampsorhynchus rufulus); 领鵙鹛 (Gampsorhynchus torquatus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Garrulax,,,8,斑胸噪鹛 (Garrulax merulinus); 画眉 (Garrulax canorus); 台湾画眉 (Garrulax taewanus); 小黑领噪鹛 (Garrulax monileger); 白冠噪鹛 (Garrulax leucolophus); 白颈噪鹛 (Garrulax strepitans); 褐胸噪鹛 (Garrulax maesi); 栗颊噪鹛 (Garrulax castanotis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Garrulus,,松鸦,1,松鸦 (Garrulus glandarius),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Gavia,潜鸟属,潜鸟,4,红喉潜鸟 (Gavia stellata); 黑喉潜鸟 (Gavia arctica); 太平洋潜鸟 (Gavia pacifica); 黄嘴潜鸟 (Gavia adamsii),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Gecinulus,,竹啄木鸟,1,竹啄木鸟 (Gecinulus grantia),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Gelochelidon,,鸥嘴噪鸥,1,鸥嘴噪鸥 (Gelochelidon nilotica),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Geokichla,地鸫属,地鸫,3,白眉地鸫 (Geokichla sibirica); 杂色地鸫 (Geokichla wardii); 橙头地鸫 (Geokichla citrina),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Geopelia,,斑姬地鸠,1,斑姬地鸠 (Geopelia striata),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Glareola,燕鸻属,燕鸻,4,灰燕鸻 (Glareola lactea); 普通燕鸻 (Glareola maldivarum); 黑翅燕鸻 (Glareola nordmanni); 领燕鸻 (Glareola pratincola),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Glaucidium,头鸺鹠属,头鸺鹠,2,花头鸺鹠 (Glaucidium passerinum); 斑头鸺鹠 (Glaucidium cuculoides),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Gorsachius,,鳽,2,黑冠鳽 (Gorsachius melanolophus); 栗鳽 (Gorsachius goisagi),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Gracula,,鹩哥,1,鹩哥 (Gracula religiosa),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Gracupica,椋鸟属,椋鸟,3,黑领椋鸟 (Gracupica nigricollis); 斑椋鸟 (Gracupica contra); 暹罗斑椋鸟 (Gracupica floweri),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Graminicola,,中华草鹛,1,中华草鹛 (Graminicola striatus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Grammatoptila,,条纹噪鹛,1,条纹噪鹛 (Grammatoptila striata),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Grandala,,蓝大翅鸲,1,蓝大翅鸲 (Grandala coelicolor),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Grus,,鹤,5,蓑羽鹤 (Grus virgo); 丹顶鹤 (Grus japonensis); 灰鹤 (Grus grus); 白头鹤 (Grus monacha); 黑颈鹤 (Grus nigricollis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Gygis,,白燕鸥,1,白燕鸥 (Gygis alba),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Gypaetus,,胡兀鹫,1,胡兀鹫 (Gypaetus barbatus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Gyps,兀鹫属,兀鹫,4,白背兀鹫 (Gyps bengalensis); 细嘴兀鹫 (Gyps tenuirostris); 高山兀鹫 (Gyps himalayensis); 兀鹫 (Gyps fulvus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Gypsophila,鹪鹛属,鹪鹛,2,短尾鹪鹛 (Gypsophila brevicaudata); 灰岩鹪鹛 (Gypsophila annamensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Haematopus,,蛎鹬,1,蛎鹬 (Haematopus ostralegus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Halcyon,翡翠属,翡翠,3,赤翡翠 (Halcyon coromanda); 白胸翡翠 (Halcyon smyrnensis); 蓝翡翠 (Halcyon pileata),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Haliaeetus,海雕属,海雕,3,虎头海雕 (Haliaeetus pelagicus); 玉带海雕 (Haliaeetus leucoryphus); 白尾海雕 (Haliaeetus albicilla),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Haliastur,,栗鸢,1,栗鸢 (Haliastur indus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Harpactes,咬鹃属,咬鹃,3,橙胸咬鹃 (Harpactes oreskios); 红头咬鹃 (Harpactes erythrocephalus); 红腹咬鹃 (Harpactes wardi),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Helopsaltes,,莺,6,库页岛蝗莺 (Helopsaltes amnicola); 苍眉蝗莺 (Helopsaltes fasciolatus); 斑背大尾莺 (Helopsaltes pryeri); 小蝗莺 (Helopsaltes certhiola); 东亚蝗莺 (Helopsaltes pleskei); 北蝗莺 (Helopsaltes ochotensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Hemiprocne,,凤头雨燕,1,凤头雨燕 (Hemiprocne coronata),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Hemipus,,褐背鹟鵙,1,褐背鹟鵙 (Hemipus picatus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Hemitesia,,淡脚树莺,1,淡脚树莺 (Hemitesia pallidipes),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Hemixos,短脚鹎属,短脚鹎,2,灰短脚鹎 (Hemixos flavala); 栗背短脚鹎 (Hemixos castanonotus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Heterophasia,奇鹛属,奇鹛,6,长尾奇鹛 (Heterophasia picaoides); 白耳奇鹛 (Heterophasia auricularis); 黑顶奇鹛 (Heterophasia capistrata); 丽色奇鹛 (Heterophasia pulchella); 灰奇鹛 (Heterophasia gracilis); 黑头奇鹛 (Heterophasia desgodinsi),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Heteroxenicus,,栗背短翅鸫,1,栗背短翅鸫 (Heteroxenicus stellatus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Hieraaetus,,靴隼雕,1,靴隼雕 (Hieraaetus pennatus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Hierococcyx,鹰鹃属,鹰鹃,4,大鹰鹃 (Hierococcyx sparverioides); 普通鹰鹃 (Hierococcyx varius); 北棕腹鹰鹃 (Hierococcyx hyperythrus); 棕腹鹰鹃 (Hierococcyx nisicolor),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Himantopus,长脚鹬属,长脚鹬,2,黑翅长脚鹬 (Himantopus himantopus); 澳洲长脚鹬 (Himantopus leucocephalus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Hirundapus,针尾雨燕属,针尾雨燕,4,白喉针尾雨燕 (Hirundapus caudacutus); 灰喉针尾雨燕 (Hirundapus cochinchinensis); 褐背针尾雨燕 (Hirundapus giganteus); 紫针尾雨燕 (Hirundapus celebensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Hirundo,,燕,3,洋燕 (Hirundo javanica); 家燕 (Hirundo rustica); 线尾燕 (Hirundo smithii),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Histrionicus,,丑鸭,1,丑鸭 (Histrionicus histrionicus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Horornis,树莺属,树莺,6,日本树莺 (Horornis diphone); 远东树莺 (Horornis canturians); 强脚树莺 (Horornis fortipes); 喜山黄腹树莺 (Horornis brunnescens); 黄腹树莺 (Horornis acanthizoides); 异色树莺 (Horornis flavolivaceus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Hydrobates,叉尾海燕属,叉尾海燕,4,黑叉尾海燕 (Hydrobates monorhis); 白腰叉尾海燕 (Hydrobates leucorhous); 褐翅叉尾海燕 (Hydrobates tristrami); 日本叉尾海燕 (Hydrobates matsudairae),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Hydrocoloeus,,小鸥,1,小鸥 (Hydrocoloeus minutus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Hydrophasianus,,水雉,1,水雉 (Hydrophasianus chirurgus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Hydroprogne,,红嘴巨燕鸥,1,红嘴巨燕鸥 (Hydroprogne caspia),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Hydrornis,八色鸫属,八色鸫,5,双辫八色鸫 (Hydrornis phayrei); 栗头八色鸫 (Hydrornis oatesi); 蓝枕八色鸫 (Hydrornis nipalensis); 蓝背八色鸫 (Hydrornis soror); 蓝八色鸫 (Hydrornis cyaneus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Hypothymis,,黑枕王鹟,1,黑枕王鹟 (Hypothymis azurea),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Hypsipetes,短脚鹎属,短脚鹎,2,栗耳短脚鹎 (Hypsipetes amaurotis); 黑短脚鹎 (Hypsipetes leucocephalus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Ianthocincla,噪鹛属,噪鹛,7,黑额山噪鹛 (Ianthocincla sukatschewi); 棕颏噪鹛 (Ianthocincla rufogularis); 灰翅噪鹛 (Ianthocincla cineracea); 眼纹噪鹛 (Ianthocincla ocellata); 大噪鹛 (Ianthocincla maxima); 白点噪鹛 (Ianthocincla bieti); 斑背噪鹛 (Ianthocincla lunulata),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Ibidorhyncha,,鹮嘴鹬,1,鹮嘴鹬 (Ibidorhyncha struthersii),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Ichthyaetus,,鸥,2,渔鸥 (Ichthyaetus ichthyaetus); 遗鸥 (Ichthyaetus relictus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Icthyophaga,,雕,2,白腹海雕 (Icthyophaga leucogaster); 渔雕 (Icthyophaga humilis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Ictinaetus,,林雕,1,林雕 (Ictinaetus malaiensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Iduna,篱莺属,篱莺,3,靴篱莺 (Iduna caligata); 赛氏篱莺 (Iduna rama); 草绿篱莺 (Iduna pallida),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Indicator,,黄腰响蜜䴕,1,黄腰响蜜䴕 (Indicator xanthonotus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Iole,,灰眼短脚鹎,1,灰眼短脚鹎 (Iole propinqua),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Irena,,和平鸟,1,和平鸟 (Irena puella),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Ithaginis,,血雉,1,血雉 (Ithaginis cruentus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Ixos,,绿翅短脚鹎,1,绿翅短脚鹎 (Ixos mcclellandii),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Jynx,,蚁䴕,1,蚁䴕 (Jynx torquilla),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Ketupa,,鸮,5,林雕鸮 (Ketupa nipalensis); 乌雕鸮 (Ketupa coromanda); 毛腿雕鸮 (Ketupa blakistoni); 褐渔鸮 (Ketupa zeylonensis); 黄腿渔鸮 (Ketupa flavipes),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Kurochkinegramma,,蓝枕花蜜鸟,1,蓝枕花蜜鸟 (Kurochkinegramma hypogrammicum),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Lagopus,雷鸟属,雷鸟,2,柳雷鸟 (Lagopus lagopus); 岩雷鸟 (Lagopus muta),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Lalage,鹃鵙属,鹃鵙,2,黑鸣鹃鵙 (Lalage nigra); 暗灰鹃鵙 (Lalage melaschistos),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Lanius,伯劳属,伯劳,15,西方灰伯劳 (Lanius excubitor); 青藏楔尾伯劳 (Lanius giganteus); 楔尾伯劳 (Lanius sphenocercus); 灰伯劳 (Lanius borealis); 黑额伯劳 (Lanius minor); 栗背伯劳 (Lanius collurioides); 虎纹伯劳 (Lanius tigrinus); 褐背伯劳 (Lanius vittatus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Larus,,鸥,10,黑尾鸥 (Larus crassirostris); 普通海鸥 (Larus canus); 美洲海鸥 (Larus brachyrhynchus); 环嘴鸥 (Larus delawarensis); 里海银鸥 (Larus cachinnans); 西伯利亚银鸥 (Larus vegae); 北极鸥 (Larus hyperboreus); 小黑背鸥 (Larus fuscus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Larvivora,歌鸲属,歌鸲,6,蓝歌鸲 (Larvivora cyane); 栗腹歌鸲 (Larvivora brunnea); 日本歌鸲 (Larvivora akahige); 琉球歌鸲 (Larvivora komadori); 红尾歌鸲 (Larvivora sibilans); 棕头歌鸲 (Larvivora ruficeps),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Leioptila,,栗背奇鹛,1,栗背奇鹛 (Leioptila annectens),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Leiothrix,相思鸟属,相思鸟,2,红嘴相思鸟 (Leiothrix lutea); 银耳相思鸟 (Leiothrix argentauris),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Leptopoecile,雀莺属,雀莺,2,花彩雀莺 (Leptopoecile sophiae); 凤头雀莺 (Leptopoecile elegans),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Leptoptilos,,秃鹳,1,秃鹳 (Leptoptilos javanicus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Lerwa,,雪鹑,1,雪鹑 (Lerwa lerwa),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Leucogeranus,,白鹤,1,白鹤 (Leucogeranus leucogeranus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Leucophaeus,,鸥,2,笑鸥 (Leucophaeus atricilla); 弗氏鸥 (Leucophaeus pipixcan),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Leucoptilon,,白尾蓝仙鹟,1,白尾蓝仙鹟 (Leucoptilon concretum),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Leucosticte,岭雀属,岭雀,3,林岭雀 (Leucosticte nemoricola); 高山岭雀 (Leucosticte brandti); 粉红腹岭雀 (Leucosticte arctoa),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
