status,Genus,Suggested Chinese genus name,Shared suffix,CBR species count,Example species,Method
not_used,Anarhynchus,,鸻,7,红胸鸻 (Anarhynchus asiaticus); 东方鸻 (Anarhynchus veredus); 青藏沙鸻 (Anarhynchus atrifrons); 蒙古沙鸻 (Anarhynchus mongolus); 铁嘴沙鸻 (Anarhynchus leschenaultii); 环颈鸻 (Anarhynchus alexandrinus); 白脸鸻 (Anarhynchus dealbatus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Anas,,鸭,6,棕颈鸭 (Anas luzonica); 印缅斑嘴鸭 (Anas poecilorhyncha); 斑嘴鸭 (Anas zonorhyncha); 绿头鸭 (Anas platyrhynchos); 针尾鸭 (Anas acuta); 美洲绿翅鸭 (Anas crecca),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Anastomus,,钳嘴鹳,1,钳嘴鹳 (Anastomus oscitans),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Anhinga,,黑腹蛇鹈,1,黑腹蛇鹈 (Anhinga melanogaster),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Anorrhinus,,白喉犀鸟,1,白喉犀鸟 (Anorrhinus austeni),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Anous,玄燕鸥属,玄燕鸥,2,白顶玄燕鸥 (Anous stolidus); 玄燕鸥 (Anous minutus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Anser,,雁,8,斑头雁 (Anser indicus); 雪雁 (Anser caerulescens); 灰雁 (Anser anser); 鸿雁 (Anser cygnoides); 豆雁 (Anser fabalis); 短嘴豆雁 (Anser serrirostris); 白额雁 (Anser albifrons); 小白额雁 (Anser erythropus),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Anthipes,,白喉姬鹟,1,白喉姬鹟 (Anthipes monileger),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Anthracoceros,,冠斑犀鸟,1,冠斑犀鸟 (Anthracoceros albirostris),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Anthreptes,,褐喉食蜜鸟,1,褐喉食蜜鸟 (Anthreptes malacensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Anthus,,鹨,13,理氏鹨 (Anthus richardi); 田鹨 (Anthus rufulus); 布氏鹨 (Anthus godlewskii); 平原鹨 (Anthus campestris); 草地鹨 (Anthus pratensis); 林鹨 (Anthus trivialis); 树鹨 (Anthus hodgsoni); 北鹨 (Anthus gustavi),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Antigone,,鹤,3,沙丘鹤 (Antigone canadensis); 白枕鹤 (Antigone vipio); 赤颈鹤 (Antigone antigone),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Aplonis,,亚洲辉椋鸟,1,亚洲辉椋鸟 (Aplonis panayensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Apus,雨燕属,雨燕,4,普通雨燕 (Apus apus); 白腰雨燕 (Apus pacificus); 暗背雨燕 (Apus acuticauda); 小白腰雨燕 (Apus nipalensis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
not_used,Aquila,,雕,4,草原雕 (Aquila nipalensis); 白肩雕 (Aquila heliaca); 金雕 (Aquila chrysaetos); 白腹隼雕 (Aquila fasciata),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Arachnothera,捕蛛鸟属,捕蛛鸟,2,长嘴捕蛛鸟 (Arachnothera longirostra); 纹背捕蛛鸟 (Arachnothera magna),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
accepted,Arborophila,山鹧鸪属,山鹧鸪,9,环颈山鹧鸪 (Arborophila torqueola); 四川山鹧鸪 (Arborophila rufipectus); 红胸山鹧鸪 (Arborophila mandellii); 白眉山鹧鸪 (Arborophila gingica); 红喉山鹧鸪 (Arborophila rufogularis); 海南山鹧鸪 (Arborophila ardens); 台湾山鹧鸪 (Arborophila crudigularis); 白颊山鹧鸪 (Arborophila atrogularis),common Chinese species-name suffix; minimum 2 CBR species and suffix length >= 2
